datacoverage,elevation,elevationUnit,id,latitude,longitude,maxdate,mindate,name
0.7137,237.1,METERS,GHCND:US1ALCM0003,34.17031,-86.76244,2018-01-01,2012-01-01,"CULLMAN 4.4 E, AL US"
0.916,185,METERS,GHCND:US1ALCM0004,34.065585,-86.735358,2020-01-01,2009-01-01,"HANCEVILLE 1.6 E, AL US"
0.9993,171.3,METERS,GHCND:US1ALCM0006,34.10045,-86.93199,2020-01-01,2009-01-01,"CULLMAN 7.5 SW, AL US"
0.5452,212.1,METERS,GHCND:US1ALCN0009,33.754,-85.837,2019-01-01,2009-01-01,"WEAVER 1.6 W, AL US"
1,107.3,METERS,GHCND:US1ALCS0008,32.825232,-86.416378,2014-01-01,2013-01-01,"ROCKFORD 12.3 WSW, AL US"
0.9993,236.2,METERS,GHCND:US1ALCT0001,34.6224,-87.7941,2019-01-01,2008-01-01,"TUSCUMBIA 8.9 SW, AL US"
0.9223,154.8,METERS,GHCND:US1ALCT0004,34.729276,-87.647181,2020-01-01,2008-01-01,"MUSCLE SHOALS 1.3 SSW, AL US"
0.6917,167,METERS,GHCND:US1ALCT0005,34.76554,-87.68133,2020-01-01,2008-01-01,"SHEFFIELD 1.3 ENE, AL US"
0.6246,204.2,METERS,GHCND:US1ALCT0012,34.6854,-88.0248,2016-01-01,2009-01-01,"CHEROKEE 5.9 SW, AL US"
0.8565,196.9,METERS,GHCND:US1ALCT0014,34.7753949,-87.4736333,2016-01-01,2010-01-01,"MUSCLE SHOALS 9.7 NNE, AL US"
0.8454,396.8,METERS,GHCND:US1ALDK0008,34.534639,-85.756271,2020-01-01,2008-01-01,"SYLVANIA 3.4 ESE, AL US"
0.9993,274.3,METERS,GHCND:US1ALDK0009,34.443141,-85.715898,2020-01-01,2009-01-01,"FORT PAYNE 1.4 WSW, AL US"
1,388.9,METERS,GHCND:US1ALDK0010,34.538735,-85.911544,2011-01-01,2010-01-01,"FYFFE 6.3 NNE, AL US"
1,365.8,METERS,GHCND:US1ALDK0012,34.4719,-85.8429,2019-01-01,2017-01-01,"RAINSVILLE 1.9 S, AL US"
0.2855,93.9,METERS,GHCND:US1ALDL0001,31.47594,-85.661436,2014-01-01,2008-01-01,"OZARK 2.7 NNW, AL US"
0.9986,145.7,METERS,GHCND:US1ALDL0002,31.6071,-85.431,2009-01-01,2008-01-01,"CLOPTON 0.1 SW, AL US"
0.9991,46,METERS,GHCND:US1ALDS0001,32.404157,-87.05462,2020-01-01,2015-01-01,"SELMA 1.5 WSW, AL US"
0.8328,120.1,METERS,GHCND:US1ALEL0004,32.55035,-86.3845,2020-01-01,2009-01-01,"MILLBROOK 4.0 NNW, AL US"
0.7495,100,METERS,GHCND:US1ALEL0005,32.5422,-86.3783,2014-01-01,2011-01-01,"MILLBROOK 3.3 N, AL US"
0.9086,171.6,METERS,GHCND:US1ALEL0018,32.678426,-86.140235,2019-01-01,2009-01-01,"WETUMPKA 9.9 NNE, AL US"
0.9993,58.8,METERS,GHCND:US1ALEL0022,32.574063,-86.287733,2020-01-01,2010-01-01,"WETUMPKA 5.4 WNW, AL US"
0.3997,117,METERS,GHCND:US1ALEL0024,32.5149,-86.3851,2020-01-01,2011-01-01,"MILLBROOK 1.7 NW, AL US"
0.5829,52.1,METERS,GHCND:US1ALES0001,31.056577,-87.166847,2020-01-01,2009-01-01,"POLLARD 2.4 N, AL US"
1,252.7,METERS,GHCND:US1ALET0004,34.08794785,-85.98629761,2015-01-01,2014-01-01,"GADSDEN 5.6 NNE, AL US"
0.8881,157.9,METERS,GHCND:US1ALFY0001,33.83032,-87.81167,2016-01-01,2008-01-01,"WINFIELD 6.9 S, AL US"
0.9986,167.3,METERS,GHCND:US1ALFY0010,33.775567,-87.826694,2020-01-01,2019-01-01,"FAYETTE 5.6 N, AL US"
1,91.1,METERS,GHCND:US1ALHS0004,31.217215,-85.4172,2011-01-01,2009-01-01,"DOTHAN 1.5 SSW, AL US"
0.9991,96,METERS,GHCND:US1ALHS0006,31.226143,-85.614283,2016-01-01,2008-01-01,"CLAYHATCHEE 5.9 E, AL US"
0.6661,182.9,METERS,GHCND:US1ALJC0008,34.638775,-86.257709,2016-01-01,2008-01-01,"WOODVILLE 1.7 NE, AL US"
0.9992,463,METERS,GHCND:US1ALJC0012,34.734519,-86.210018,2020-01-01,2008-01-01,"WOODVILLE 8.0 NNE, AL US"
0.9991,228,METERS,GHCND:US1ALJF0011,33.451136,-86.767219,2016-01-01,2008-01-01,"VESTAVIA HILLS 1.7 NE, AL US"
0.2998,189.9,METERS,GHCND:US1ALJF0025,33.4885,-86.8923,2017-01-01,2008-01-01,"FAIRFIELD 1.8 NE, AL US"
1,314.9,METERS,GHCND:US1ALJF0036,33.684722,-86.597222,2011-01-01,2009-01-01,"TRUSSVILLE 3.4 N, AL US"
0.9084,165.2,METERS,GHCND:US1ALJF0037,33.379,-86.9775,2020-01-01,2010-01-01,"BESSEMER 1.0 WNW, AL US"
0.7771,270.1,METERS,GHCND:US1ALJF0047,33.396258,-86.839896,2020-01-01,2012-01-01,"HOOVER 1.9 NW, AL US"
0.7137,312.1,METERS,GHCND:US1ALJF0053,33.652331,-86.616748,2020-01-01,2014-01-01,"TRUSSVILLE 1.8 NW, AL US"
0.9992,222.8,METERS,GHCND:US1ALJF0057,33.51213837,-86.74279785,2020-01-01,2014-01-01,"MOUNTAIN BROOK 1.7 N, AL US"
0.9993,321.6,METERS,GHCND:US1ALJF0062,33.720453,-86.59301,2020-01-01,2017-01-01,"TRUSSVILLE 5.8 N, AL US"
0.9986,300.2,METERS,GHCND:US1ALJF0070,33.624,-86.6513,2020-01-01,2019-01-01,"CENTER POINT 2.1 SE, AL US"
0.9993,154.8,METERS,GHCND:US1ALLD0004,34.792123,-87.678868,2011-01-01,2008-01-01,"FLORENCE 2.6 SSW, AL US"
0.9993,224,METERS,GHCND:US1ALLD0009,34.912944,-87.882889,2020-01-01,2010-01-01,"CLOVERDALE 6.6 WSW, AL US"
0.5829,186.2,METERS,GHCND:US1ALLD0025,34.83505,-87.56975,2020-01-01,2009-01-01,"FLORENCE 5.4 E, AL US"
0.9995,182.6,METERS,GHCND:US1ALLD0034,34.887654,-87.702978,2014-01-01,2010-01-01,"FLORENCE 4.7 NNW, AL US"
0.4997,203,METERS,GHCND:US1ALLE0004,32.594869,-85.471087,2020-01-01,2009-01-01,"AUBURN 0.6 ENE, AL US"
0.7996,171.3,METERS,GHCND:US1ALLE0005,32.561652,-85.458071,2013-01-01,2009-01-01,"AUBURN 2.5 SSE, AL US"
0.8328,185.9,METERS,GHCND:US1ALLE0007,32.584422,-85.593032,2020-01-01,2009-01-01,"AUBURN 6.6 W, AL US"
0.9986,204.2,METERS,GHCND:US1ALLE0012,32.632721,-85.460526,2016-01-01,2015-01-01,"AUBURN 3.0 NNE, AL US"
0.9991,213.1,METERS,GHCND:US1ALLR0002,34.5382,-87.2378,2010-01-01,2008-01-01,"HILLSBORO 7.4 SSW, AL US"
0.6917,224,METERS,GHCND:US1ALLS0002,34.80442,-86.83035,2020-01-01,2008-01-01,"CAPSHAW 3.0 NW, AL US"
1,198.7,METERS,GHCND:US1ALLS0022,34.75768,-86.91587,2011-01-01,2010-01-01,"ATHENS 3.2 SE, AL US"
0.9991,210.3,METERS,GHCND:US1ALLS0023,34.786944,-86.953611,2020-01-01,2012-01-01,"ATHENS 1.5 SE, AL US"
0.9991,256.3,METERS,GHCND:US1ALLS0025,34.915725,-86.998976,2018-01-01,2016-01-01,"ELKMONT 1.6 SW, AL US"
0.9986,53.9,METERS,GHCND:US1ALMB0001,30.6079,-88.2585,2020-01-01,2019-01-01,"TILLMANS CORNER 4.3 WNW, AL US"
0.9993,30.5,METERS,GHCND:US1ALMB0004,30.69,-88.13,2020-01-01,2009-01-01,"MOBILE 2.6 WNW, AL US"
0.9993,71.9,METERS,GHCND:US1ALMB0024,30.737,-88.274,2019-01-01,2008-01-01,"WILMER 7.9 SE, AL US"
0.9995,43,METERS,GHCND:US1ALMB0032,30.511661,-88.321841,2013-01-01,2009-01-01,"GRAND BAY 3.1 NNE, AL US"
1,14.9,METERS,GHCND:US1ALMB0047,30.680815,-88.088807,2011-01-01,2009-01-01,"MOBILE 0.2 N, AL US"
0.3635,10.1,METERS,GHCND:US1ALMB0049,30.671,-88.108,2019-01-01,2009-01-01,"MOBILE 1.2 WSW, AL US"
0.9992,55.5,METERS,GHCND:US1ALMB0060,30.73635,-88.18182,2020-01-01,2014-01-01,"MOBILE 5.0 WNW, AL US"
0.5993,26.2,METERS,GHCND:US1ALMB0063,30.61167,-88.33424,2020-01-01,2016-01-01,"TILLMANS CORNER 8.7 WNW, AL US"
0.9993,120.7,METERS,GHCND:US1ALMC0003,32.44805,-85.817164,2020-01-01,2017-01-01,"TUSKEGEE 6.2 W, AL US"
0.3074,463,METERS,GHCND:US1ALMD0002,34.6651,-86.365438,2020-01-01,2008-01-01,"GURLEY 2.7 S, AL US"
0.7267,209.1,METERS,GHCND:US1ALMD0004,34.647,-86.553,2018-01-01,2008-01-01,"HUNTSVILLE 5.9 SE, AL US"
0.2725,246.9,METERS,GHCND:US1ALMD0006,34.935182,-86.583459,2020-01-01,2010-01-01,"HAZEL GREEN 1.2 NW, AL US"
0.9993,277.1,METERS,GHCND:US1ALMD0010,34.62023,-86.558954,2011-01-01,2008-01-01,"HUNTSVILLE 7.2 SSE, AL US"
0.9986,243.5,METERS,GHCND:US1ALMD0013,34.91343,-86.45135,2009-01-01,2008-01-01,"NEW MARKET 1.5 W, AL US"
0.6917,219.8,METERS,GHCND:US1ALMD0017,34.773067,-86.42655,2020-01-01,2008-01-01,"BROWNSBORO 1.9 NNE, AL US"
0.6994,242,METERS,GHCND:US1ALMD0025,34.73372,-86.55651,2017-01-01,2008-01-01,"HUNTSVILLE 4.4 ENE, AL US"
0.8565,207.9,METERS,GHCND:US1ALMD0026,34.7283,-86.7168,2014-01-01,2008-01-01,"MADISON 2.6 NE, AL US"
0.9991,182.9,METERS,GHCND:US1ALMD0029,34.612559,-86.539501,2010-01-01,2008-01-01,"HUNTSVILLE 8.2 SE, AL US"
0.7771,207.9,METERS,GHCND:US1ALMD0030,34.613611,-86.555457,2016-01-01,2008-01-01,"HUNTSVILLE 7.6 SSE, AL US"
0.4282,239.9,METERS,GHCND:US1ALMD0032,34.788837,-86.772823,2014-01-01,2008-01-01,"HARVEST 4.8 SSW, AL US"
0.9223,429.2,METERS,GHCND:US1ALMD0033,34.670574,-86.515034,2020-01-01,2008-01-01,"HAMPTON COVE 2.1 WNW, AL US"
0.9993,187.1,METERS,GHCND:US1ALMD0040,34.667,-86.485,2015-01-01,2008-01-01,"HAMPTON COVE 0.5 NNW, AL US"
0.9993,193.9,METERS,GHCND:US1ALMD0042,34.66892,-86.49463,2019-01-01,2008-01-01,"HAMPTON COVE 1.0 NW, AL US"
0.9991,196.9,METERS,GHCND:US1ALMD0043,34.561814,-86.396613,2010-01-01,2008-01-01,"NEW HOPE 1.9 NE, AL US"
0.9986,235.9,METERS,GHCND:US1ALMD0045,34.80887,-86.78458,2009-01-01,2008-01-01,"HARVEST 3.8 SSW, AL US"
0.9992,234.1,METERS,GHCND:US1ALMD0046,34.792099,-86.77632,2014-01-01,2008-01-01,"HARVEST 4.6 SSW, AL US"
0.8326,187.1,METERS,GHCND:US1ALMD0048,34.639224,-86.536861,2013-01-01,2008-01-01,"HUNTSVILLE 7.0 SE, AL US"
0.3074,235.9,METERS,GHCND:US1ALMD0050,34.727,-86.7453,2020-01-01,2008-01-01,"MADISON 1.7 N, AL US"
0.8568,221,METERS,GHCND:US1ALMD0054,34.65199,-86.55827,2015-01-01,2009-01-01,"HUNTSVILLE 5.5 SE, AL US"
0.9993,221,METERS,GHCND:US1ALMD0059,34.7856,-86.7114,2020-01-01,2009-01-01,"HARVEST 5.3 SSE, AL US"
0.8744,237.7,METERS,GHCND:US1ALMD0071,34.7856636,-86.7374662,2020-01-01,2013-01-01,"MADISON 5.8 N, AL US"
0.9986,223.1,METERS,GHCND:US1ALMD0090,34.7329833,-86.5712667,2020-01-01,2019-01-01,"HUNTSVILLE 3.7 ENE, AL US"
0.9986,253.9,METERS,GHCND:US1ALMG0003,34.513053,-86.922659,2013-01-01,2012-01-01,"PRICEVILLE 2.2 WSW, AL US"
0.9992,253,METERS,GHCND:US1ALMG0009,34.363774,-86.821729,2020-01-01,2008-01-01,"FALKVILLE 5.1 E, AL US"
0.9992,394.1,METERS,GHCND:US1ALMG0012,34.4907,-86.6328,2020-01-01,2008-01-01,"LACEY S SPRING 3.4 SSW, AL US"
0.8328,191.1,METERS,GHCND:US1ALMG0014,34.4552,-86.7743833,2020-01-01,2009-01-01,"SOMERVILLE 2.0 SE, AL US"
0.7495,249.6,METERS,GHCND:US1ALMG0017,34.5148,-86.9146,2020-01-01,2009-01-01,"PRICEVILLE 1.8 WSW, AL US"
0.9223,171,METERS,GHCND:US1ALMR0001,33.979306,-87.921354,2020-01-01,2008-01-01,"GUIN 1.1 NW, AL US"
0.4995,319.1,METERS,GHCND:US1ALMS0004,34.289,-86.127,2013-01-01,2008-01-01,"ALBERTVILLE 5.0 ENE, AL US"
0.6149,241.1,METERS,GHCND:US1ALMS0006,34.330621,-86.292466,2020-01-01,2008-01-01,"GUNTERSVILLE 2.2 SW, AL US"
0.6994,296.9,METERS,GHCND:US1ALMS0011,34.364817,-86.236096,2020-01-01,2011-01-01,"GUNTERSVILLE 2.0 ENE, AL US"
0.6994,313,METERS,GHCND:US1ALMS0013,34.278524,-86.291163,2017-01-01,2008-01-01,"ALBERTVILLE 4.8 WNW, AL US"
0.6661,205.1,METERS,GHCND:US1ALMS0019,34.24937,-86.39305,2020-01-01,2015-01-01,"DOUGLAS 6.8 NW, AL US"
0.7991,286.5,METERS,GHCND:US1ALMS0020,34.42225,-86.5691,2020-01-01,2016-01-01,"UNION GROVE 7.2 WNW, AL US"
0.4997,337.4,METERS,GHCND:US1ALMS0021,34.236773,-86.170806,2016-01-01,2009-01-01,"ALBERTVILLE 2.8 SE, AL US"
0.9084,324,METERS,GHCND:US1ALMS0022,34.342446,-86.213142,2020-01-01,2010-01-01,"ALBERTVILLE 5.5 N, AL US"
0.8881,185,METERS,GHCND:US1ALMS0029,34.35623,-86.35249,2020-01-01,2012-01-01,"GUNTERSVILLE 4.7 W, AL US"
0.9986,317,METERS,GHCND:US1ALMS0031,34.259791,-86.230992,2020-01-01,2019-01-01,"ALBERTVILLE 1.2 W, AL US"
0.9993,158.8,METERS,GHCND:US1ALMY0006,32.032274,-86.205587,2020-01-01,2009-01-01,"RAMER 1.5 SE, AL US"
0.8744,94.5,METERS,GHCND:US1ALMY0007,32.37715556,-86.25753889,2016-01-01,2009-01-01,"MONTGOMERY 2.2 NE, AL US"
0.6661,89,METERS,GHCND:US1ALMY0011,32.16781,-86.293265,2020-01-01,2018-01-01,"MONTGOMERY 12.9 S, AL US"
0.9986,63.4,METERS,GHCND:US1ALMY0014,32.37835,-86.13699,2020-01-01,2019-01-01,"MONTGOMERY 8.8 E, AL US"
0.9993,253,METERS,GHCND:US1ALRN0002,33.203389,-85.348472,2020-01-01,2010-01-01,"ROANOKE 4.2 NNE, AL US"
1,257.9,METERS,GHCND:US1ALRN0004,33.178579,-85.304231,2019-01-01,2018-01-01,"ROANOKE 4.4 ENE, AL US"
0.4998,124.1,METERS,GHCND:US1ALRS0001,32.494827,-85.029497,2019-01-01,2014-01-01,"PHENIX CITY 2.2 NNW, AL US"
0.9986,128.9,METERS,GHCND:US1ALRS0002,32.503104,-85.04043,2009-01-01,2008-01-01,"PHENIX CITY 3.0 NNW, AL US"
0.7996,121,METERS,GHCND:US1ALRS0003,32.291807,-85.189303,2018-01-01,2009-01-01,"SEALE 1.4 W, AL US"
0.9986,147.8,METERS,GHCND:US1ALSC0001,33.5105,-86.252333,2009-01-01,2008-01-01,"PELL CITY 3.6 SSE, AL US"
0.9993,142,METERS,GHCND:US1ALSC0003,33.488501,-86.325154,2011-01-01,2008-01-01,"PELL CITY 5.8 SSW, AL US"
0.9986,243.8,METERS,GHCND:US1ALSC0004,33.70815,-86.32552,2009-01-01,2008-01-01,"ODENVILLE 4.5 ENE, AL US"
0.6661,212.8,METERS,GHCND:US1ALSC0006,33.583378,-86.463282,2020-01-01,2015-01-01,"MOODY 2.0 ESE, AL US"
0.9989,180.4,METERS,GHCND:US1ALSC0011,33.808339,-86.299628,2020-01-01,2016-01-01,"ASHVILLE 2.7 SW, AL US"
0.9993,199,METERS,GHCND:US1ALSH0004,33.389,-86.7105,2015-01-01,2008-01-01,"MEADOWBROOK 1.2 SW, AL US"
0.9991,143.9,METERS,GHCND:US1ALSH0012,33.2666,-86.821,2010-01-01,2008-01-01,"ALABASTER 2.8 N, AL US"
0.8565,159.1,METERS,GHCND:US1ALSH0013,33.218458,-86.858674,2014-01-01,2008-01-01,"ALABASTER 2.0 WSW, AL US"
0.3843,250.9,METERS,GHCND:US1ALSH0016,33.396296,-86.635297,2020-01-01,2008-01-01,"MEADOWBROOK 3.6 E, AL US"
0.6359,162.2,METERS,GHCND:US1ALSH0021,33.4051,-86.7359,2018-01-01,2008-01-01,"INVERNESS 0.8 W, AL US"
0.9991,183.5,METERS,GHCND:US1ALSH0022,33.2462,-86.7903,2020-01-01,2018-01-01,"ALABASTER 2.4 NE, AL US"
0.3843,188.1,METERS,GHCND:US1ALSH0024,33.142866,-86.771664,2020-01-01,2008-01-01,"CALERA 3.1 NNW, AL US"
1,172.8,METERS,GHCND:US1ALSH0041,33.179,-86.782,2011-01-01,2010-01-01,"CALERA 5.6 NNW, AL US"
0.9991,291.7,METERS,GHCND:US1ALSH0048,33.4198,-86.6378,2020-01-01,2012-01-01,"LAKE PURDY 2.6 ESE, AL US"
0.9991,166.4,METERS,GHCND:US1ALSH0052,33.195364,-86.834405,2020-01-01,2015-01-01,"ALABASTER 2.2 SSW, AL US"
1,137.5,METERS,GHCND:US1ALSH0057,33.273516,-86.813355,2015-01-01,2014-01-01,"PELHAM 2.3 SSW, AL US"
1,157,METERS,GHCND:US1ALSH0061,33.26490784,-86.49478912,2018-01-01,2017-01-01,"WILSONVILLE 2.2 NNW, AL US"
0.9986,164,METERS,GHCND:US1ALSH0062,33.390695,-86.741399,2020-01-01,2019-01-01,"INVERNESS 1.4 SW, AL US"
0.8744,139,METERS,GHCND:US1ALTG0002,33.444141,-86.310972,2015-01-01,2008-01-01,"VINCENT 7.0 NE, AL US"
0.7991,187.5,METERS,GHCND:US1ALTG0003,33.485975,-85.99382,2012-01-01,2008-01-01,"MUNFORD 5.0 SSE, AL US"
0.7686,150,METERS,GHCND:US1ALTG0006,33.22433,-86.31953,2020-01-01,2008-01-01,"BON AIR 2.8 SSE, AL US"
0.6661,201.5,METERS,GHCND:US1ALTG0007,33.409388,-86.092149,2020-01-01,2018-01-01,"TALLADEGA 1.6 SSE, AL US"
0.9993,189,METERS,GHCND:US1ALTG0010,33.5379,-85.9708,2014-01-01,2011-01-01,"MUNFORD 1.3 WNW, AL US"
0.7996,153,METERS,GHCND:US1ALTP0005,32.847583,-85.856101,2014-01-01,2010-01-01,"JACKSONS GAP 3.4 SW, AL US"
0.6149,199.3,METERS,GHCND:US1ALTP0007,32.9884,-85.9492,2020-01-01,2008-01-01,"ALEXANDER CITY 3.1 NNE, AL US"
0.9993,150,METERS,GHCND:US1ALTP0011,32.8875,-85.9338,2011-01-01,2008-01-01,"ALEXANDER CITY 2.7 S, AL US"
1,149,METERS,GHCND:US1ALTP0013,32.754335,-85.817579,2011-01-01,2009-01-01,"DADEVILLE 6.2 SSW, AL US"
0.9995,197.2,METERS,GHCND:US1ALTP0014,32.827065,-85.96077,2014-01-01,2010-01-01,"ALEXANDER CITY 7.1 SSW, AL US"
0.9992,68,METERS,GHCND:US1ALTS0003,33.0786,-87.4009,2020-01-01,2008-01-01,"HOLT 11.4 SSE, AL US"
0.4996,128.9,METERS,GHCND:US1ALTS0004,33.1853,-87.4979,2020-01-01,2011-01-01,"TUSCALOOSA 4.4 SE, AL US"
0.9992,58.2,METERS,GHCND:US1ALTS0017,33.23701,-87.68692,2020-01-01,2011-01-01,"COKER 0.6 S, AL US"
0.9986,159.1,METERS,GHCND:US1ALWK0001,33.897717,-87.232833,2009-01-01,2008-01-01,"JASPER 3.8 NE, AL US"
0.9084,248.1,METERS,GHCND:US1ALWN0001,34.19387,-87.38946,2020-01-01,2010-01-01,"DOUBLE SPRINGS 3.2 NNE, AL US"
0.9989,39,METERS,GHCND:US1ALWS0001,31.50952,-87.96003,2016-01-01,2012-01-01,"JACKSON 4.3 WSW, AL US"
0.9992,53.9,METERS,GHCND:US1ALWX0001,31.965167,-87.638717,2020-01-01,2008-01-01,"PINE HILL 3.6 WSW, AL US"
0.8881,79.9,METERS,GHCND:US1ALWX0002,32.0166,-87.2904,2016-01-01,2008-01-01,"CAMDEN 1.0 NNE, AL US"
0.2855,262.1,METERS,GHCND:US1CHARM043,34.628611,-86.556111,2014-01-01,2008-01-01,"HAMPTON COVE 4.8 WSW, AL US"
0.555,210.3,METERS,GHCND:US1CHARM053,34.644444,-86.505556,2016-01-01,2008-01-01,"HAMPTON COVE 1.8 SW, AL US"
0.571,220.1,METERS,GHCND:US1CHARM175,34.780556,-86.864444,2014-01-01,2008-01-01,"ATHENS 5.4 E, AL US"
0.3996,235,METERS,GHCND:US1CHARM176,34.798056,-86.704722,2012-01-01,2008-01-01,"HARVEST 4.7 SSE, AL US"
0.9993,184.1,METERS,GHCND:US1CHARM178,34.6475,-86.481389,2011-01-01,2008-01-01,"HAMPTON COVE 0.9 S, AL US"
0.6661,220.7,METERS,GHCND:US1CHARM197,34.785556,-86.711389,2014-01-01,2012-01-01,"CAPSHAW 4.7 E, AL US"
0.9986,192.6,METERS,GHCND:US1CHARM213,34.849,-87.449,2012-01-01,2011-01-01,"KILLEN 4.6 E, AL US"
0.738,139,METERS,GHCND:USC00010008,31.5702,-85.2482,2013-01-01,1949-01-01,"ABBEVILLE, AL US"
0.3623,249.3,METERS,GHCND:USC00010063,34.2553,-87.1814,2020-01-01,1941-01-01,"ADDISON, AL US"
0.9086,302.1,METERS,GHCND:USC00010071,34.41667,-87.31667,1959-01-01,1949-01-01,"ADDISON CENTRAL TOWER, AL US"
0.8394,34.1,METERS,GHCND:USC00010125,31.13333,-85.06667,1929-01-01,1905-01-01,"ALAGA, AL US"
0.7803,53.3,METERS,GHCND:USC00010140,32.2322,-87.4104,2014-01-01,1942-01-01,"ALBERTA, AL US"
0.6246,348.1,METERS,GHCND:USC00010148,34.23333,-86.16667,1977-01-01,1930-01-01,"ALBERTVILLE, AL US"
0.823,195.1,METERS,GHCND:USC00010160,32.9452,-85.948,2020-01-01,1970-01-01,"ALEXANDER CITY, AL US"
0.8513,200.9,METERS,GHCND:USC00010163,32.98333,-85.86667,1969-01-01,1943-01-01,"ALEXANDER CITY 6 NE, AL US"
0.5425,59.4,METERS,GHCND:USC00010178,33.1272,-88.155,2020-01-01,1951-01-01,"ALICEVILLE, AL US"
0.7995,50.3,METERS,GHCND:USC00010184,33.21,-88.2878,2020-01-01,1981-01-01,"BEVILL LOCK AND DAM, AL US"
